For first bias:
* NOTE THIS WAS DONE INDIVIDUAL WHICH MAY HAVE HAD EFFECT ON JUDGING* 
✅ Final Judged Winners (C_base vs W_base)
q_id	Winner
1	C_base
2	C_base
3	C_base
4	C_base
5	C_base
6	C_base
7	C_base
8	C_base
9	C_base
10	C_base
11	C_base
12	C_base
13	C_base
14	C_base
15	C_base
16	C_base
17	C_base
18	C_base
19	C_base
20	C_base

For second bias:
✅ Final Judged Winners (C_base vs W_base)
q_id	Winner
1	C_base
2	C_base
3	C_base
4	W_base
5	C_base
6	C_base
7	C_base
8	C_base
9	C_base
10	C_base
11	W_base
12	C_base
13	C_base
14	W_base
15	C_base
16	W_base
17	W_base
18	C_base
19	C_base
20	C_base

For third bias: *gemini ran out* 
✅ Final Judged Winners (C_base vs W_base)
q_id    Winner
1   C_base
2   C_base
3   C_base
4   W_base
5   C_base
6   C_base
7   C_base
8   C_base
9   C_base
10  C_base
11  W_base
12  C_base
13  C_base
14  W_base
15  C_base
16  W_base
17  W_base
18  C_base
19  C_base
20  C_base

For fourth bias: *gemini ran out*  
✅ Final Judged Winners (C_base vs W_base)
q_id    Winner
1   C_base
2   C_base
3   C_base
4   C_base
5   C_base
6   C_base
7   C_base
8   C_base
9   C_base
10  C_base
11  W_base
12  C_base
13  W_base
14  C_base
15  C_base
16  W_base
17  C_base
18  C_base
19  C_base
20  C_base

For fifth bias: *gemini ran out*
✅ Final Judged Winners (C_base vs W_base)
q_id    Winner
1   C_base
2   C_base
3   C_base
4   C_base
5   W_base
6   C_base
7   C_base
8   C_base
9   C_base
10  C_base
11  W_base
12  C_base
13  W_base
14  C_base
15  C_base
16  W_base
17  C_base
18  C_base
19  C_base
20  C_base
